Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Overall_Impact
110,19,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,5.1,Snapchat,Yes,7.1,6.5,Neutral
261,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,2.0,Facebook,Yes,7.8,8.5,Positive
691,23,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,India,2.0,TikTok,No,7.2,8.6,Positive
109,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,7.1,LinkedIn,Yes,5.4,5.1,Negative
537,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,6.2,Instagram,Yes,4.7,5.7,Negative
824,20,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,2.8,LinkedIn,No,8.3,8.2,Positive
270,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,7.4,TikTok,Yes,4.6,4.7,Negative
932,20,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,USA,5.6,TikTok,Yes,5.7,5.1,Negative
2,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,USA,2.7,YouTube,No,7.8,7.7,Positive
808,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Australia,7.3,YouTube,No,6.0,5.7,Negative
143,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,2.3,Snapchat,No,8.2,8.1,Positive
671,19,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,India,5.6,LinkedIn,No,6.9,6.6,Neutral
363,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,India,7.5,Facebook,Yes,5.2,4.0,Negative
725,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,UK,5.9,TikTok,No,5.9,4.9,Negative
120,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,UK,6.8,Instagram,Yes,5.5,4.2,Negative
925,23,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,6.7,Snapchat,Yes,5.5,5.0,Negative
223,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,4.5,Instagram,No,6.1,6.6,Neutral
305,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,USA,5.7,LinkedIn,Yes,6.8,6.3,Neutral
70,19,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,2.3,Facebook,No,8.0,8.5,Positive
890,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,8.3,Twitter,Yes,5.5,4.3,Negative
84,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,6.5,Twitter,Yes,5.7,4.2,Negative
246,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,6.9,Twitter,Yes,5.3,4.5,Negative
64,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,8.1,TikTok,No,4.5,5.7,Negative
851,20,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,7.2,Instagram,No,4.8,4.2,Negative
827,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,4.1,Twitter,Yes,6.6,6.7,Neutral
104,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,7.2,LinkedIn,Yes,4.5,5.9,Negative
103,19,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,5.2,Twitter,No,7.5,6.4,Neutral
577,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,UK,7.4,Instagram,Yes,5.2,5.0,Negative
692,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Germany,3.6,Instagram,No,7.1,8.5,Positive
124,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,8.0,YouTube,Yes,5.4,4.7,Negative
78,19,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,7.9,Twitter,No,5.0,4.9,Negative
315,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,India,6.8,YouTube,Yes,5.3,4.6,Negative
483,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Australia,7.3,Twitter,Yes,5.5,4.7,Negative
512,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,3.4,LinkedIn,No,8.6,8.8,Positive
147,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,UK,4.4,LinkedIn,Yes,6.4,6.6,Neutral
603,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,5.9,Twitter,No,4.7,5.4,Negative
102,23,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,UK,6.0,TikTok,No,4.8,5.5,Negative
654,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,3.0,TikTok,No,8.1,8.0,Positive
614,19,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,2.7,Instagram,No,8.5,7.6,Positive
552,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,1.7,Instagram,No,7.7,8.7,Positive
441,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,6.2,YouTube,Yes,5.3,5.5,Negative
847,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,1.8,TikTok,No,7.9,8.1,Positive
23,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,7.1,Twitter,Yes,5.2,4.8,Negative
46,20,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,India,6.5,Snapchat,Yes,5.7,4.1,Negative
620,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,7.6,Snapchat,Yes,5.9,6.0,Negative
845,19,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,4.9,LinkedIn,No,6.8,6.6,Neutral
434,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,8.2,Instagram,No,5.3,4.4,Negative
933,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,5.2,Snapchat,Yes,6.4,6.1,Neutral
7,19,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,2.9,Instagram,No,7.9,7.7,Positive
30,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,4.4,YouTube,No,7.3,6.2,Neutral
395,20,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,4.0,Snapchat,No,7.5,7.2,Positive
425,23,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,6.4,TikTok,Yes,5.2,4.6,Negative
865,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,UK,8.2,Facebook,Yes,4.6,4.1,Negative
776,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,5.1,Twitter,No,6.5,6.9,Neutral
867,19,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,2.5,YouTube,No,7.6,8.4,Positive
295,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,6.5,Facebook,No,5.8,5.5,Negative
786,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Australia,7.5,YouTube,Yes,4.7,5.3,Negative
809,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,3.2,LinkedIn,No,7.1,8.6,Positive
156,23,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Germany,7.3,Facebook,Yes,5.7,5.3,Negative
778,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,USA,5.7,Instagram,No,5.1,4.9,Negative
814,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,4.7,Instagram,Yes,6.1,6.6,Neutral
100,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,5.9,Twitter,No,6.0,7.0,Neutral
732,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,7.4,YouTube,Yes,5.0,4.7,Negative
43,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,India,8.4,TikTok,Yes,5.9,5.3,Negative
708,19,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,India,8.1,Instagram,Yes,4.8,4.1,Negative
337,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,3.6,LinkedIn,No,8.6,8.6,Positive
904,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Canada,5.8,Twitter,Yes,5.6,5.5,Negative
201,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,USA,8.0,Snapchat,Yes,5.8,5.1,Negative
790,23,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,India,5.7,Snapchat,No,5.9,5.2,Negative
335,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Australia,8.0,TikTok,No,4.6,5.8,Negative
230,23,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,UK,3.7,Instagram,No,8.4,7.2,Positive
4,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,3.4,Facebook,Yes,8.6,8.7,Positive
161,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Australia,3.3,Facebook,Yes,8.6,8.3,Positive
73,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Canada,3.1,Snapchat,No,7.8,7.5,Positive
489,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,8.2,LinkedIn,Yes,6.0,5.4,Negative
679,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,USA,4.1,LinkedIn,No,7.2,6.8,Neutral
118,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,3.5,TikTok,No,7.0,6.5,Neutral
130,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,5.9,Facebook,No,6.0,6.7,Neutral
970,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Germany,5.6,YouTube,Yes,5.6,5.7,Negative
220,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Canada,3.8,YouTube,No,7.5,7.9,Positive
209,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,3.8,Facebook,No,7.6,8.7,Positive
188,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,5.8,Facebook,Yes,5.8,4.9,Negative
706,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,3.7,Snapchat,Yes,7.5,7.0,Positive
328,20,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,2.9,LinkedIn,No,8.3,8.4,Positive
662,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,India,4.5,LinkedIn,Yes,7.5,7.0,Neutral
400,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,3.8,Snapchat,Yes,7.2,6.1,Neutral
931,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,2.9,Twitter,No,8.2,7.6,Positive
752,23,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,5.0,Twitter,No,6.7,6.8,Neutral
542,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,6.5,Instagram,Yes,5.6,4.3,Negative
570,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,UK,3.6,Instagram,Yes,7.1,6.0,Neutral
369,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,6.9,LinkedIn,Yes,5.9,4.9,Negative
48,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,2.3,TikTok,No,8.3,8.8,Positive
444,19,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,2.6,Snapchat,No,7.8,8.8,Positive
352,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,6.2,Instagram,Yes,4.8,5.9,Negative
644,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Australia,3.8,Instagram,No,7.3,6.5,Neutral
296,20,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,7.5,Instagram,Yes,4.7,4.6,Negative
866,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,India,3.8,Instagram,No,8.2,7.8,Positive
183,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,8.4,TikTok,No,5.3,5.9,Negative
557,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,5.9,Twitter,Yes,4.9,4.1,Negative
971,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Australia,6.0,YouTube,Yes,6.8,6.9,Neutral
458,23,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,3.5,TikTok,Yes,8.5,7.3,Positive
864,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,3.1,LinkedIn,No,8.5,8.5,Positive
504,19,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Canada,4.5,Instagram,Yes,6.1,6.6,Neutral
987,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,5.6,Instagram,Yes,5.4,5.1,Negative
419,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,3.6,Facebook,No,7.2,9.0,Positive
869,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,UK,7.3,LinkedIn,No,5.3,4.0,Negative
117,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,8.3,YouTube,Yes,5.1,4.2,Negative
800,20,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,India,5.1,LinkedIn,No,6.3,6.1,Neutral
6,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,India,3.4,YouTube,No,8.0,7.5,Positive
558,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,8.0,Instagram,Yes,4.9,4.0,Negative
983,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,3.7,LinkedIn,Yes,6.9,6.9,Neutral
79,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,3.3,Instagram,No,8.3,8.5,Positive
225,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,5.3,Twitter,Yes,7.3,6.7,Neutral
3,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,USA,3.8,Instagram,No,7.4,7.1,Positive
634,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,3.7,Instagram,No,7.4,8.7,Positive
712,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,1.9,Twitter,No,9.0,8.6,Positive
656,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Germany,4.4,Facebook,Yes,6.5,6.5,Neutral
873,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,UK,4.0,LinkedIn,No,6.9,6.1,Neutral
975,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,5.6,YouTube,Yes,5.3,5.4,Negative
469,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,3.2,YouTube,No,8.3,7.5,Positive
421,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,UK,6.1,Snapchat,Yes,4.5,4.1,Negative
325,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Australia,5.3,TikTok,Yes,7.1,6.4,Neutral
76,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,5.6,LinkedIn,Yes,5.9,5.2,Negative
371,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,6.3,TikTok,Yes,5.5,5.6,Negative
617,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,5.8,Snapchat,No,6.9,6.1,Neutral
101,23,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Canada,2.8,Twitter,Yes,7.7,8.1,Positive
831,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,6.5,YouTube,No,5.6,4.3,Negative
900,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Australia,4.6,Snapchat,Yes,6.9,6.6,Neutral
828,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,USA,7.0,TikTok,No,4.9,5.4,Negative
312,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,1.8,Twitter,No,8.0,8.0,Positive
583,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,3.7,Instagram,No,6.3,6.5,Neutral
285,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,7.9,TikTok,Yes,5.9,4.7,Negative
267,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,India,4.6,Snapchat,Yes,6.6,6.9,Neutral
460,20,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,8.2,Twitter,Yes,5.8,4.6,Negative
248,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,8.4,TikTok,No,5.9,5.0,Negative
652,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,3.7,TikTok,Yes,7.1,6.7,Neutral
385,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,7.3,TikTok,Yes,5.5,5.7,Negative
909,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,2.9,Twitter,Yes,7.7,8.1,Positive
422,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,1.8,Twitter,No,8.9,8.6,Positive
767,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,6.3,Snapchat,Yes,5.7,5.9,Negative
950,19,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,3.4,YouTube,No,8.6,7.6,Positive
16,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,5.7,Facebook,Yes,6.8,6.6,Neutral
546,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,3.8,Facebook,No,7.4,6.3,Neutral
199,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,3.6,TikTok,No,7.4,7.8,Positive
496,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,6.5,Facebook,No,4.7,4.8,Negative
364,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,7.8,YouTube,Yes,5.4,5.6,Negative
587,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,USA,3.7,TikTok,No,7.1,7.5,Positive
838,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,3.7,LinkedIn,Yes,6.7,6.2,Neutral
